0.249,-0.355,0.308,0.0219,0.17,0.0819,-0.0867,0.131,0.0344,0.0179,0.14,0.0222,0.316,-0.00212,-0.0223
0.253,-0.359,0.312,0.0224,0.17,0.082,-0.0886,0.133,0.0342,0.0178,0.141,0.0205,0.318,-0.00284,-0.0222
0.266,-0.368,0.321,0.0253,0.169,0.0869,-0.0951,0.134,0.032,0.0158,0.143,0.0172,0.323,-0.00574,-0.0223
0.289,-0.383,0.333,0.0315,0.173,0.0877,-0.108,0.136,0.0277,0.0134,0.145,0.00829,0.319,-0.0177,-0.0236
0.327,-0.398,0.358,0.0389,0.177,0.0883,-0.128,0.137,0.0259,0.00693,0.154,0.00236,0.318,-0.0427,-0.0371
0.365,-0.422,0.382,0.05,0.172,0.0894,-0.158,0.127,0.0271,0.00489,0.167,-0.00401,0.31,-0.0672,-0.0595
0.39,-0.441,0.45,0.0559,0.174,0.0898,-0.191,0.113,0.0342,0.00177,0.184,0.00142,0.295,-0.121,-0.0843
0.42,-0.475,0.544,0.0648,0.185,0.0773,-0.225,0.1,0.0308,0.00807,0.206,0.0232,0.291,-0.14,-0.122
0.478,-0.478,0.644,0.0604,0.215,0.073,-0.274,0.0803,0.0218,0.0245,0.244,0.023,0.323,-0.164,-0.151
0.635,-0.507,0.77,0.0578,0.255,0.0658,-0.315,0.0376,-0.0033,0.0556,0.28,0.0144,0.357,-0.16,-0.207
0.793,-0.514,0.917,0.0476,0.326,0.0575,-0.369,-0.0624,-0.0384,0.0951,0.347,0.0197,0.426,-0.24,-0.255
0.952,-0.545,NaN,0.0555,0.41,0.0477,-0.474,-0.139,-0.0722,0.135,0.363,-0.00782,0.55,-0.332,-0.278
NaN,-0.587,NaN,0.0609,0.432,0.0397,-0.59,-0.433,-0.0669,0.162,0.354,-0.0052,0.648,-0.45,-0.311
NaN,-0.68,NaN,0.00623,0.429,-0.0531,-0.744,-0.605,-0.0237,0.193,0.341,-0.0224,0.777,-0.592,-0.379
NaN,-0.708,NaN,-0.0296,0.343,-0.143,-0.927,-0.809,0.0819,0.317,0.284,0.128,0.879,-0.57,-0.461
NaN,NaN,NaN,-0.0523,0.177,-0.367,NaN,NaN,0.199,0.504,0.317,0.368,NaN,-0.716,-0.557
NaN,NaN,NaN,-0.114,0.0117,-0.404,NaN,NaN,0.358,NaN,0.348,NaN,NaN,NaN,-0.739
NaN,NaN,NaN,-0.193,0.0767,-0.643,NaN,NaN,0.607,NaN,0.406,NaN,NaN,NaN,NaN
