0.036809,-0.0011503,-0.05259,0.064987,0.0021254,-0.022283,0.018338,0.043789,0.009307,0.0025121,0.0052873
-0.057203,-0.061106,-0.085062,-0.043917,-0.0094725,0.0080271,-0.054588,-0.023419,-0.013492,-0.018298,-0.024752
-0.12318,-0.08816,-0.049254,-0.17297,-0.024871,-0.04517,-0.050323,-0.034889,0.012903,-0.025647,0.019292
0.02198,-0.050443,-0.031602,0.0034865,0.00041614,0.037328,-0.015811,-0.04437,0.0036342,0.025894,0.0030654
0.009203,-0.01804,-0.050019,-0.036939,-0.013614,-0.03061,0.0047901,-0.017265,-0.018312,-0.0092891,0.018404
0.0054221,-0.014131,-0.0093613,-0.013042,-0.0015836,-0.014216,0.014122,-0.0076051,0.010379,0.024701,-0.003985
0.046222,0.025969,0.00025661,-0.03489,0.012666,-0.0085977,0.01034,0.00065856,0.0065035,-0.041825,-3.5843e-05
-0.071289,-0.10556,-0.041653,-0.16139,0.023507,-0.0076879,-0.014299,-0.022456,-0.02866,-0.022612,0.0027299
0.028696,0.012328,0.031894,0.04147,0.023108,0.03418,-0.034479,-0.02241,0.015034,0.029302,0.007512
-0.0052319,0.036392,-0.018439,-0.070435,0.056449,0.027313,0.079106,0.067419,0.016327,0.0085002,-0.0098331
-0.0047583,-0.005582,0.0026439,0.0086431,0.045413,0.01221,0.042506,0.048899,0.053391,0.037021,0.039119
-0.0082264,-0.054648,0.00019453,-0.053407,0.017732,-0.0030293,-0.007904,-0.021739,0.0040321,-0.0075918,0.035605
-0.010799,-0.031747,0.0052396,-0.15041,-0.018171,-0.038191,-0.066187,-0.053642,0.0059042,-0.021498,-0.027343
-0.035424,-0.042975,-0.1137,-0.15023,-0.03191,-0.0059631,-0.0079241,-0.019444,-0.018084,-0.0050225,-0.0038407
-0.014299,-0.040194,-0.042238,-0.055123,-0.014275,-0.02415,-0.010129,-0.021315,-0.022018,-0.021301,-0.016199
