[-22 -80 -12],[-26 -84 16],[26 -92 26],[26 -56 -10]
0.22898,0.16288,0.14552,0.17875
0.034394,-0.015329,0.00047079,0.024286
0.0084905,0.05552,0.13015,0.098872
-0.023126,0.0013027,-0.026647,0.041181
0.10331,0.11416,0.13385,0.073898
0.11041,0.020357,0.11468,0.061947
0.11511,0.14927,0.12154,0.095499
0.00029785,0.027569,-0.00019805,0.017738
0.21704,0.13577,0.19381,0.10541
-0.019318,-0.044271,0.031879,-0.044426
0.034399,0.064809,0.016169,0.039115
0.12744,0.12613,0.35116,0.18148
0.06085,0.046442,0.1363,0.030967
0.11492,0.066384,0.14189,0.081104
0.029824,-0.0041599,0.0055754,-0.043055
0.1271,0.11342,0.16378,0.16083
