0.249,0.253,0.266,0.289,0.327,0.365,0.39,0.42,0.478,0.635,0.793,0.952,0.245,0.25,0.263,0.287,0.325,0.355,0.394,0.417,0.494,0.638,0.814,0.956,0.267,0.271,0.288,0.309,0.348,0.38,0.408,0.437,0.524,0.663,0.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.355,-0.359,-0.368,-0.383,-0.398,-0.422,-0.441,-0.475,-0.478,-0.507,-0.514,-0.545,-0.587,-0.68,-0.708,-0.35,-0.353,-0.365,-0.373,-0.387,-0.418,-0.44,-0.469,-0.473,-0.491,-0.491,-0.537,-0.617,-0.677,-0.694,-0.356,-0.358,-0.37,-0.387,-0.4,-0.43,-0.443,-0.483,-0.481,-0.495,-0.534,-0.562,-0.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.308,0.312,0.321,0.333,0.358,0.382,0.45,0.544,0.644,0.77,0.917,0.306,0.308,0.319,0.332,0.347,0.39,0.455,0.547,0.65,0.796,0.909,0.298,0.301,0.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0219,0.0224,0.0253,0.0315,0.0389,0.05,0.0559,0.0648,0.0604,0.0578,0.0476,0.0555,0.0609,0.00623,-0.0296,-0.0523,-0.114,-0.193,0.0251,0.0261,0.029,0.0322,0.0441,0.0564,0.0644,0.0658,0.0736,0.0763,0.0552,0.0587,0.0284,0.0189,-0.0786,-0.147,0.0179,0.0184,0.0191,0.0258,0.0363,0.0539,0.0669,0.0819,0.0802,0.0886,0.0696,0.0953,0.0668,0.0569,0.0385,-0.0273,NaN,NaN
0.17,0.17,0.169,0.173,0.177,0.172,0.174,0.185,0.215,0.255,0.326,0.41,0.432,0.429,0.343,0.177,0.0117,0.0767,0.171,0.172,0.172,0.175,0.178,0.174,0.177,0.19,0.225,0.245,0.356,0.425,0.434,0.432,0.282,0.0945,0.0358,-0.0493,0.163,0.164,0.165,0.166,0.168,0.17,0.173,0.186,0.216,0.265,0.344,0.433,0.45,0.395,NaN,NaN
0.0819,0.082,0.0869,0.0877,0.0883,0.0894,0.0898,0.0773,0.073,0.0658,0.0575,0.0477,0.0397,-0.0531,-0.143,-0.367,-0.404,-0.643,0.0796,0.0802,0.0833,0.0845,0.0876,0.0872,0.0946,0.0796,0.075,0.0692,0.0491,0.0576,0.0326,-0.0411,-0.158,-0.324,-0.356,-0.63,0.0988,0.0992,0.102,0.109,0.113,0.117,0.109,0.107,0.0923,0.093,0.0985,0.0875,0.0608,-0.0214,-0.116,-0.188
-0.0867,-0.0886,-0.0951,-0.108,-0.128,-0.158,-0.191,-0.225,-0.274,-0.315,-0.369,-0.474,-0.59,-0.744,-0.927,-0.0877,-0.0897,-0.0966,-0.109,-0.127,-0.154,-0.19,-0.229,-0.273,-0.313,-0.361,-0.449,-0.557,-0.707,-0.89,-0.0894,-0.0912,-0.0997,-0.111,-0.131,-0.16,-0.201,-0.238,-0.283,-0.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.131,0.133,0.134,0.136,0.137,0.127,0.113,0.1,0.0803,0.0376,-0.0624,-0.139,-0.433,-0.605,-0.809,0.135,0.137,0.137,0.145,0.142,0.141,0.137,0.111,0.0805,0.0429,-0.0483,-0.2,-0.41,-0.602,0.148,0.149,0.158,0.158,0.16,0.158,0.159,0.139,0.123,0.0589,0.0118,-0.138,-0.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0344,0.0342,0.032,0.0277,0.0259,0.0271,0.0342,0.0308,0.0218,-0.0033,-0.0384,-0.0722,-0.0669,-0.0237,0.0819,0.199,0.358,0.607,0.038,0.0379,0.0357,0.0325,0.0306,0.0325,0.0376,0.0328,0.0226,0.00421,-0.03,-0.0653,-0.0559,0.00162,0.0787,0.194,0.408,0.606,0.0367,0.0361,0.0344,0.0313,0.0287,0.0324,0.0342,0.0334,0.0227,-0.00526,-0.0297,NaN,NaN,NaN,NaN,NaN
0.285,0.286,0.283,0.274,0.277,0.285,0.305,0.385,0.363,0.362,0.417,0.465,0.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0179,0.0178,0.0158,0.0134,0.00693,0.00489,0.00177,0.00807,0.0245,0.0556,0.0951,0.135,0.162,0.193,0.317,0.504,0.0159,0.0155,0.0139,0.0103,0.00534,0.00852,0.00718,0.0077,0.0247,0.0579,0.0875,0.118,0.153,0.177,0.358,0.595,0.0293,0.0284,0.0285,0.0296,0.026,0.0156,0.0222,0.0307,0.0673,0.0897,0.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.14,0.141,0.143,0.145,0.154,0.167,0.184,0.206,0.244,0.28,0.347,0.363,0.354,0.341,0.284,0.317,0.348,0.406,0.141,0.142,0.143,0.146,0.152,0.166,0.186,0.202,0.241,0.28,0.339,0.376,0.361,0.343,0.309,0.309,0.287,0.458,0.138,0.138,0.14,0.144,0.149,0.163,0.179,0.193,0.232,0.274,0.321,0.35,0.346,0.307,0.306,0.284
0.0222,0.0205,0.0172,0.00829,0.00236,-0.00401,0.00142,0.0232,0.023,0.0144,0.0197,-0.00782,-0.0052,-0.0224,0.128,0.368,0.0226,0.0203,0.0184,0.0097,0.00768,-0.00723,0.0132,0.00736,0.0323,0.0341,0.0151,0.00957,0.00164,-0.00161,0.147,0.43,0.0166,0.015,0.01,0.00541,-0.00553,-0.0161,-0.0113,-0.00566,0.00357,0.0214,0.0136,-0.0178,-0.0214,-0.0453,NaN,NaN,NaN,NaN,NaN,NaN
0.316,0.318,0.323,0.319,0.318,0.31,0.295,0.291,0.323,0.357,0.426,0.55,0.648,0.777,0.879,0.315,0.318,0.321,0.317,0.315,0.305,0.293,0.293,0.314,0.35,0.44,0.564,0.659,0.8,0.875,0.329,0.332,0.335,0.335,0.331,0.327,0.324,0.321,0.337,0.403,0.488,0.598,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.00212,-0.00284,-0.00574,-0.0177,-0.0427,-0.0672,-0.121,-0.14,-0.164,-0.16,-0.24,-0.332,-0.45,-0.592,-0.57,-0.716,-0.00139,0.00036,-0.00805,-0.0181,-0.0441,-0.0777,-0.0984,-0.144,-0.153,-0.191,-0.245,-0.281,-0.353,-0.444,-0.603,0.0309,0.0299,0.0204,0.00873,-0.0139,-0.0331,-0.0717,-0.104,-0.111,-0.214,-0.238,-0.233,-0.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.0223,-0.0222,-0.0223,-0.0236,-0.0371,-0.0595,-0.0843,-0.122,-0.151,-0.207,-0.255,-0.278,-0.311,-0.379,-0.461,-0.557,-0.739,-0.0224,-0.0227,-0.0236,-0.0244,-0.0399,-0.059,-0.0866,-0.114,-0.154,-0.202,-0.246,-0.272,-0.284,-0.365,-0.497,-0.595,-0.722,-0.0144,-0.0145,-0.0142,-0.0193,-0.0265,-0.0496,-0.0697,-0.104,-0.138,-0.184,0,0,0,0,0,0,0,0
