contrast,famous,unfamiliar,scrambled,contrast,famous,unfamiliar,scrambled
fusiform_con2,fusiform_con3,fusiform_con4,fusiform_con5,all_brain_con2,all_brain_con3,all_brain_con4,all_brain_con5
0.47,-0.13,0.018,-0.085,0.35,0.05,0.21,0.072
-0.49,-0.031,0.12,0.071,0.19,-0.15,-0.062,-0.036
0.46,-0.22,0.059,-0.19,0.46,-0.16,-0.13,-0.15
0.038,-0.18,-0.058,-0.17,-0.04,-0.17,-0.2,-0.18
0.22,-0.52,-0.36,-0.54,0.38,-0.45,-0.34,-0.5
0.0014,0.19,0.13,0.12,-0.32,-0.31,-0.42,-0.34
-0.32,-0.51,-0.35,-0.54,-0.25,-0.26,0.061,-0.28
0.035,-0.25,-0.35,-0.33,0.14,-0.26,-0.32,-0.29
0.066,-0.38,-0.19,-0.37,0.088,-0.23,-0.066,-0.28
0.33,-0.74,-0.66,-0.7,-0.2,-0.41,-0.35,-0.42
0.12,-0.12,-0.13,-0.12,0.38,0.067,0.21,0.17
0.24,-0.42,-0.45,-0.43,-0.031,-0.15,-0.26,-0.17
0.0078,-0.55,-0.44,-0.57,0.3,-0.22,0.01,-0.26
0.46,-0.49,-0.27,-0.52,0.45,-0.31,0.13,-0.34
-0.14,0.012,-0.13,-0.036,-0.33,-0.052,-0.079,-0.077
-0.2,-0.092,0.057,-0.019,-0.26,0.12,0.12,0.17
